Date,AAPL,ABBV,ABT,ACN,AMD,AMGN,AMZN,AVGO,AXP,BA,BAC,BLK,BMY,C,CAT,COP,COST,CRM,CSCO,CVX,DHR,DIS,GE,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,LLY,LMT,LOW,MA,MCD,META,MMM,MRK,MS,MSFT,NFLX,NKE,NVDA,ORCL,PFE,PG,QCOM,RTX,SBUX,SCHW,SLB,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,V,VZ,WFC,WMT,XOM
2018-01-02,40.304168701171875,69.34371948242188,50.82292938232422,136.70782470703125,10.979999542236328,137.77520751953125,59.45050048828125,21.130897521972656,88.571533203125,282.88641357421875,24.63749885559082,414.3572082519531,45.55110168457031,56.579593658447266,131.5438690185547,42.35492706298828,168.49813842773438,103.1566162109375,30.43355369567871,89.45236206054688,78.9535903930664,106.22454071044922,81.05406188964844,53.22063064575195,213.14422607421875,153.79287719726562,117.0869369506836,103.41281127929688,39.33038330078125,110.7641830444336,86.34089660644531,75.02672576904297,255.92567443847656,78.69847869873047,145.05812072753906,142.78155517578125,180.00741577148438,148.22242736816406,41.5934944152832,40.8397331237793,78.8703384399414,20.10700035095215,56.92670822143555,4.9282660484313965,41.251197814941406,23.830411911010742,72.82498931884766,52.61403274536133,66.64505004882812,48.090301513671875,46.000396728515625,54.936546325683594,53.56400680541992,188.75535583496094,61.57335662841797,21.368667602539062,83.80709838867188,193.09048461914062,113.2718276977539,108.11190032958984,34.220035552978516,48.653324127197266,28.855195999145508,58.58043670654297
2018-01-03,40.29714584350586,70.42886352539062,50.93531799316406,137.33876037597656,11.550000190734863,140.37496948242188,60.209999084472656,21.361980438232422,89.11763000488281,283.8012390136719,24.555097579956055,418.7290954589844,45.588253021240234,56.75459671020508,131.74490356445312,43.1358757019043,170.52029418945312,104.02605438232422,30.67633628845215,90.10445404052734,80.00413513183594,106.68058776855469,81.82041931152344,54.12862777709961,211.1601104736328,154.59446716308594,116.11952209472656,106.25543212890625,37.99557876586914,111.82227325439453,86.42887115478516,75.43428039550781,258.0708312988281,79.04205322265625,146.88194274902344,142.1798095703125,183.23207092285156,148.21617126464844,41.53429412841797,40.94928741455078,79.2374267578125,20.5049991607666,56.91773986816406,5.252614498138428,42.206607818603516,24.00699234008789,72.73664093017578,53.21118927001953,67.62268829345703,48.991519927978516,46.07192611694336,56.36686325073242,53.19966506958008,192.2178497314453,61.159912109375,21.149999618530273,86.0775375366211,195.11598205566406,113.90584564208984,109.18820190429688,33.51682662963867,49.02764129638672,29.106891632080078,59.73094940185547
2018-01-04,40.48432159423828,70.0271987915039,50.84886932373047,138.96498107910156,12.119999885559082,139.78343200683594,60.47949981689453,21.369104385375977,90.59991455078125,282.724365234375,24.876455307006836,424.2568359375,46.17904281616211,57.45462417602539,133.55421447753906,43.633544921875,169.19607543945312,105.39936828613281,30.763126373291016,89.82398223876953,80.38846588134766,106.6330795288086,83.53345489501953,54.33888626098633,214.111328125,155.8213348388672,117.68872833251953,108.40751647949219,37.29881286621094,111.81433868408203,87.6669921875,75.77093505859375,262.4979248046875,79.66049194335938,148.7822723388672,143.17724609375,182.8947296142578,150.15353393554688,42.20756912231445,41.57530975341797,79.93482208251953,20.562999725341797,56.88187026977539,5.280303478240967,42.62239456176758,24.059303283691406,73.25077056884766,53.28382110595703,67.83589172363281,49.175113677978516,46.331275939941406,57.76557159423828,52.154212951660156,194.6240234375,60.57341384887695,20.974666595458984,85.96638488769531,195.96287536621094,113.28853607177734,109.59416961669922,33.62549591064453,49.6408805847168,29.133235931396484,59.81361389160156
2018-01-05,40.94526290893555,71.24622344970703,50.99583435058594,140.11129760742188,11.880000114440918,140.6162872314453,61.457000732421875,21.495729446411133,90.80653381347656,294.32232666015625,24.991811752319336,427.8714599609375,46.28374481201172,57.378536224365234,135.6651153564453,43.54931640625,167.98818969726562,106.80233001708984,31.189180374145508,89.67674255371094,80.89239501953125,106.05350494384766,83.57855224609375,55.05943298339844,213.01919555664062,157.448974609375,118.51139831542969,108.93709564208984,37.55904769897461,112.73713684082031,87.10420227050781,76.70124816894531,264.8759460449219,81.37841033935547,151.8665771484375,143.46568298339844,185.39512634277344,151.32347106933594,42.163169860839844,41.559654235839844,80.92585754394531,20.999000549316406,57.366050720214844,5.325050354003906,42.87895202636719,24.105073928833008,73.29898071289062,53.638877868652344,68.4183120727539,49.742557525634766,46.5101203918457,58.16066360473633,52.70863342285156,197.9593963623047,62.11177444458008,21.10533332824707,86.62528228759766,199.69969177246094,114.73171997070312,112.21885681152344,33.54879379272461,49.97539138793945,29.305919647216797,59.76539993286133
2018-01-08,40.79317855834961,70.1047134399414,50.84886932373047,141.23095703125,12.279999732971191,140.57737731933594,62.34349822998047,21.54716682434082,89.9710464477539,295.5706787109375,24.818777084350586,431.0628356933594,46.29869079589844,56.708946228027344,139.0742950439453,43.99338912963867,168.64134216308594,107.5531997680664,31.512659072875977,90.11846160888672,81.3536376953125,104.5333023071289,82.40647888183594,55.25382614135742,209.92626953125,157.07275390625,117.87153625488281,109.59413146972656,37.55904769897461,112.88031768798828,87.23284149169922,76.31141662597656,263.6547546386719,80.49369049072266,152.32568359375,143.3667449951172,186.81399536132812,150.83291625976562,41.91901397705078,41.387489318847656,81.00843048095703,21.204999923706055,57.87712478637695,5.488211154937744,43.330116271972656,23.83695411682129,73.6845932006836,53.47747802734375,69.06831359863281,49.49220657348633,46.71580123901367,59.10896301269531,53.207584381103516,198.28221130371094,62.59252166748047,22.42733383178711,87.0380630493164,196.2335662841797,116.32511901855469,112.67203521728516,33.49126052856445,49.40992736816406,29.739089965820312,60.03407669067383
2018-01-09,40.78849792480469,70.6331787109375,50.93531799316406,141.70196533203125,11.819999694824219,142.74134826660156,62.6349983215332,21.24881362915039,90.30345153808594,303.46148681640625,24.9423770904541,434.685546875,46.253822326660156,57.30244445800781,139.4093475341797,44.35322570800781,166.68182373046875,107.83972930908203,31.315420150756836,89.6346664428711,84.22340393066406,104.45729064941406,83.668701171875,55.18341064453125,211.70199584960938,157.9397430419922,118.83895874023438,109.83546447753906,36.61881637573242,114.67032623291016,87.67507934570312,76.2493896484375,265.54278564453125,81.21524810791016,152.54563903808594,143.04531860351562,186.40716552734375,151.77012634277344,42.02260208129883,41.70833206176758,80.9533920288086,20.930999755859375,57.46466827392578,5.486729145050049,43.56991195678711,23.81079864501953,73.14631652832031,52.67050552368164,69.82232666015625,49.383731842041016,47.69948196411133,59.18796920776367,54.75994873046875,201.588134765625,63.0732536315918,22.246000289916992,87.63349151611328,197.21139526367188,117.62650299072266,112.45489501953125,33.368404388427734,49.58513259887695,29.38201904296875,59.77916717529297
2018-01-10,40.77914810180664,70.24563598632812,50.85752868652344,141.204345703125,11.960000038146973,142.3365478515625,62.71649932861328,20.800098419189453,90.93231201171875,305.2055358886719,25.1730899810791,432.756103515625,46.37347412109375,57.56114959716797,138.94027709960938,44.13884353637695,165.9033966064453,107.4939193725586,31.489002227783203,90.20960235595703,83.90737915039062,104.01073455810547,85.3366470336914,55.05199432373047,212.02716064453125,156.87643432617188,119.6615982055664,110.07013702392578,35.67857360839844,114.5350570678711,88.63983154296875,76.28484344482422,265.97662353515625,80.88880920410156,152.88990783691406,143.02061462402344,186.37741088867188,151.6820831298828,42.39251708984375,42.201316833496094,80.5863265991211,21.25200080871582,57.581241607666016,5.5297441482543945,43.3390007019043,23.850032806396484,72.68038940429688,52.66244125366211,70.14994049072266,49.91779708862305,47.89620590209961,59.741119384765625,56.01923751831055,201.77398681640625,61.42913055419922,22.31999969482422,87.0857162475586,195.74461364746094,116.5419921875,112.33216094970703,33.42013931274414,50.27006149291992,29.171293258666992,59.30381774902344
2018-01-11,41.010772705078125,70.45146179199219,51.20497131347656,141.39097595214844,12.140000343322754,141.63601684570312,63.83399963378906,20.853116989135742,90.49211120605469,312.696044921875,25.26373863220215,437.9256896972656,46.71749496459961,57.492671966552734,141.72962951660156,45.31027603149414,169.44662475585938,107.79032135009766,31.638912200927734,92.95110321044922,84.20633697509766,105.4549331665039,85.74239349365234,55.14671325683594,212.69407653808594,159.23199462890625,120.29385375976562,110.0835189819336,36.44252395629883,115.18743896484375,89.11421203613281,76.54178619384766,266.04095458984375,82.23738861083984,153.90365600585938,142.9217071533203,186.30795288085938,152.4180145263672,42.614479064941406,42.41259765625,80.82491302490234,21.724000930786133,57.644004821777344,5.539632797241211,43.47221755981445,23.90889549255371,72.42329406738281,52.79962158203125,70.19676208496094,50.067996978759766,48.441707611083984,60.886966705322266,58.60914993286133,204.09210205078125,61.38105773925781,22.530000686645508,87.85575866699219,196.78359985351562,117.08428192138672,113.14408874511719,33.691688537597656,50.182437896728516,29.27373504638672,59.88941192626953
2018-01-12,41.434261322021484,71.21082305908203,51.10941696166992,142.27957153320312,12.020000457763672,144.03343200683594,65.26000213623047,20.915639877319336,90.70773315429688,320.4057312011719,25.700450897216797,452.2622375488281,46.97175216674805,58.46659851074219,142.65106201171875,45.97638702392578,171.64764404296875,108.91664123535156,32.246456146240234,93.67327880859375,84.88961029052734,106.86112213134766,84.57030487060547,56.069087982177734,214.27804565429688,160.65524291992188,121.16988372802734,109.37290954589844,36.299808502197266,115.95909881591797,90.58548736572266,77.06449890136719,270.1544189453125,86.63529968261719,155.25218200683594,143.06997680664062,177.97335815429688,153.7766876220703,43.398704528808594,43.13252258300781,82.21971893310547,22.12299919128418,57.9847297668457,5.512440204620361,43.96955108642578,23.89580535888672,71.9894790649414,52.75927734375,71.02356719970703,50.40177536010742,49.53269958496094,61.613956451416016,60.8267707824707,205.5690155029297,61.22721481323242,22.4146671295166,89.48316192626953,199.62106323242188,117.76836395263672,113.38011932373047,33.53004455566406,49.816104888916016,29.522499084472656,60.29589080810547
2018-01-16,41.22368621826172,72.73665618896484,50.76197814941406,140.36903381347656,11.90999984741211,144.422607421875,65.24299621582031,20.833337783813477,90.14173889160156,319.40509033203125,25.741647720336914,458.34368896484375,44.81049728393555,58.67203903198242,141.82174682617188,45.049957275390625,171.37025451660156,107.58284759521484,31.9860782623291,92.55843353271484,84.95793151855469,105.16987609863281,82.09091186523438,56.071563720703125,215.47019958496094,160.56527709960938,120.27101135253906,109.84890747070312,36.215858459472656,116.83419799804688,90.26392364501953,75.5671615600586,265.221435546875,86.72978973388672,155.21392822265625,143.1607208251953,177.00099182128906,153.94651794433594,45.92152404785156,42.72560119628906,81.07266998291016,22.152999877929688,56.86394119262695,5.441488265991211,44.04059600830078,23.93505096435547,72.47956085205078,55.07526779174805,69.66633605957031,50.53528594970703,49.65789031982422,60.981754302978516,59.36947250366211,203.45631408691406,60.54456329345703,22.67066764831543,89.64190673828125,203.34042358398438,117.05088806152344,113.66336822509766,33.40074157714844,49.77627182006836,29.469823837280273,59.916961669921875
